"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","wangdaye.com.geometricweather.common.ui.widgets.horizontal","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\common\ui\widgets\horizontal\HorizontalViewPager2.java","3","1049","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"2","wangdaye.com.geometricweather.common.ui.widgets.horizontal","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\common\ui\widgets\horizontal\HorizontalViewPager2.java","3","1193","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","wangdaye.com.geometricweather.common.utils.helpers","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\common\utils\helpers\ShortcutsHelper.java","3","109","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","wangdaye.com.geometricweather.db.controllers","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\db\controllers\AbsEntityController.java","3","8","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","wangdaye.com.geometricweather.remoteviews.config","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\remoteviews\config\AbstractWidgetConfigActivity.java","3","629","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","wangdaye.com.geometricweather.remoteviews.presenters","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\remoteviews\presenters\AbstractRemoteViewsPresenter.java","3","51","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","wangdaye.com.geometricweather.remoteviews.presenters.notification","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\remoteviews\presenters\notification\ForecastNotificationIMP.java","3","157","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","wangdaye.com.geometricweather.remoteviews.presenters.notification","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\remoteviews\presenters\notification\MultiCityNotificationIMP.java","3","144","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","wangdaye.com.geometricweather.remoteviews.presenters.notification","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\remoteviews\presenters\notification\NativeNormalNotificationIMP.java","3","168","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","wangdaye.com.geometricweather.remoteviews.presenters.notification","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\remoteviews\presenters\notification\NormalNotificationIMP.java","3","179","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","wangdaye.com.geometricweather.theme.resource.providers","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\providers\ChronusResourceProvider.java","3","123","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","wangdaye.com.geometricweather.theme.resource.providers","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\providers\IconPackResourcesProvider.java","3","211","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","wangdaye.com.geometricweather.theme.resource.providers","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\providers\IconPackResourcesProvider.java","3","339","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","wangdaye.com.geometricweather.theme.resource.providers","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\providers\IconPackResourcesProvider.java","3","369","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"4","wangdaye.com.geometricweather.theme.resource.providers","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\providers\IconPackResourcesProvider.java","3","399","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"5","wangdaye.com.geometricweather.theme.resource.providers","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\providers\IconPackResourcesProvider.java","3","429","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"6","wangdaye.com.geometricweather.theme.resource.providers","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\providers\IconPackResourcesProvider.java","3","453","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"7","wangdaye.com.geometricweather.theme.resource.providers","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\providers\IconPackResourcesProvider.java","3","504","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"8","wangdaye.com.geometricweather.theme.resource.providers","C:\Users\91768\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\providers\IconPackResourcesProvider.java","3","520","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
